Hours_Studied,Previous_Score,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
7,99,Yes,9,1,92.5
4,82,No,4,2,65.2
8,51,Yes,7,2,45.3
5,52,Yes,5,2,36.8
7,75,No,8,5,69.4
3,78,No,9,6,62.6
7,73,Yes,5,6,64.9
8,45,Yes,4,6,40.7
5,77,No,8,2,62.0
4,89,No,4,0,70.9
8,91,No,4,5,85.5
8,79,No,6,2,75.0
3,47,No,9,2,27.7
6,47,No,4,2,32.5
5,79,No,7,8,70.6
2,72,No,4,3,44.0
8,73,Yes,8,4,67.3
6,83,Yes,7,2,72.2
2,54,Yes,4,9,29.7
5,75,No,7,0,66.9
1,99,Yes,4,3,74.2
6,96,No,9,0,88.3
9,74,Yes,7,6,75.8
1,85,No,5,6,58.6
3,61,No,6,3,37.5
7,62,Yes,7,4,52.4
4,79,No,8,9,68.3
9,84,Yes,6,6,83.4
3,94,Yes,6,5,73.4
5,90,Yes,4,3,74.5
3,61,Yes,7,3,41.9
7,44,Yes,9,1,39.1
5,70,Yes,6,9,59.7
9,52,Yes,8,1,47.7
7,67,Yes,9,3,59.5
2,97,Yes,9,4,76.3
4,59,No,8,3,43.6
9,72,No,8,2,69.2
2,55,Yes,4,1,33.4
9,68,No,5,3,66.9
5,62,No,7,4,46.8
2,63,Yes,6,0,40.2
4,73,Yes,7,0,59.3
7,46,No,9,5,38.1
8,77,Yes,6,4,70.8
3,76,Yes,4,3,54.9
1,43,Yes,7,0,19.4
4,73,No,4,6,54.9
2,81,Yes,4,3,59.4
8,61,No,7,2,54.8
4,44,Yes,7,6,26.1
2,89,Yes,6,1,67.6
6,81,No,9,9,76.3
6,62,Yes,9,0,52.7
4,93,No,8,3,78.8
6,99,No,4,7,92.0
2,54,Yes,9,5,35.2
2,70,Yes,5,8,45.9
4,98,No,6,0,80.3
8,48,No,6,0,36.9
7,82,Yes,8,4,72.2
9,97,Yes,8,5,99.9
8,92,Yes,4,7,88.4
5,64,Yes,6,2,52.5
2,64,Yes,6,5,40.7
5,88,No,5,2,72.0
8,60,No,4,7,53.6
9,48,No,4,3,42.4
9,94,No,9,1,93.4
1,87,Yes,8,8,63.2
9,77,No,9,9,75.4
7,61,Yes,4,7,52.5
9,82,Yes,5,5,82.6
8,62,Yes,4,2,52.7
1,88,Yes,9,1,69.1
8,43,Yes,7,3,36.6
8,68,No,7,3,61.4
3,54,Yes,5,0,34.4
1,40,Yes,8,8,17.6
8,93,Yes,6,9,87.7
3,69,No,4,7,48.2
3,68,Yes,9,6,49.8
1,59,Yes,8,5,35.7
5,72,Yes,9,2,64.3
7,80,No,8,3,73.6
9,83,Yes,4,1,81.2
7,75,No,6,6,66.7
9,99,No,4,1,93.5
8,61,Yes,6,9,59.6
2,52,No,9,0,33.5
1,46,No,5,5,21.4
7,47,Yes,6,3,37.2
7,67,Yes,8,7,58.5
8,84,Yes,5,0,75.4
5,82,Yes,9,8,71.3
3,48,No,7,5,33.6
8,64,No,5,1,58.3
6,95,Yes,6,7,82.8
3,55,Yes,5,4,36.3
1,49,Yes,9,4,26.8
3,50,No,5,4,29.7
5,70,Yes,9,6,63.4
3,51,No,7,6,32.8
1,99,No,6,9,76.9
5,70,No,8,6,57.8
7,53,No,5,9,44.6
7,90,Yes,4,1,77.3
9,83,Yes,8,7,84.4
3,71,Yes,5,0,51.0
7,89,No,8,1,84.6
1,92,No,4,6,66.2
4,56,Yes,8,3,42.4
4,74,No,8,9,57.3
5,40,No,4,9,25.2
7,68,No,4,8,55.9
7,90,Yes,4,8,82.5
4,43,Yes,7,2,25.1
7,62,Yes,9,2,58.5
3,67,No,9,8,47.6
6,55,Yes,4,9,41.7
2,51,Yes,9,7,35.7
9,92,Yes,8,0,93.0
5,60,No,4,5,46.2
6,84,No,5,6,68.8
4,56,No,4,7,36.1
7,79,No,4,1,71.0
9,52,No,9,0,51.4
7,91,Yes,6,3,79.6
1,97,Yes,8,0,73.9
1,71,No,9,1,44.4
9,76,No,8,2,78.8
9,89,Yes,5,3,85.2
4,54,No,7,5,34.5
9,51,No,6,7,49.1
3,88,No,5,8,68.8
7,96,No,5,3,84.3
6,54,No,8,0,41.2
8,73,Yes,6,4,66.4
9,45,Yes,8,4,46.5
5,56,No,7,8,40.8
1,87,No,8,5,60.5
3,88,Yes,4,4,69.8
8,96,No,8,9,94.9
6,59,Yes,4,9,46.1
8,48,No,5,4,40.6
9,98,Yes,7,7,100.0
4,44,Yes,9,0,23.9
1,62,No,4,4,36.6
1,72,No,7,0,46.8
4,77,Yes,8,6,61.6
7,95,No,9,6,85.6
2,53,Yes,8,9,33.9
3,56,No,5,7,36.3
1,96,No,8,6,74.7
5,58,No,4,8,42.4
1,72,Yes,5,7,49.6
8,40,Yes,7,7,30.6
1,52,No,5,2,26.3
1,85,Yes,7,9,60.9
2,66,No,6,3,45.1
2,45,Yes,4,3,16.7
6,98,No,4,0,85.4
7,45,Yes,7,5,37.5
5,72,Yes,8,1,59.8
1,69,Yes,9,8,44.5
1,85,Yes,8,0,63.2
3,74,Yes,6,0,59.3
2,62,Yes,7,9,43.9
5,49,No,6,5,32.7
6,90,No,7,0,78.1
7,58,Yes,6,2,54.1
4,90,No,7,9,75.1
7,67,Yes,4,1,58.0
8,62,No,6,8,54.3
1,43,No,6,4,16.6
6,59,No,7,5,46.2
