gender,race/ethnicity,parental level of education,lunch,test preparation course,internet_access,extracurricular_activities,tutoring_support,study_method,parental_involvement,previous_term_score,attendance_rate,weekly_study_hours,sleep_hours_per_day,daily_screen_time_hours,past_failures,reading score,writing score,math score
male,group A,high school,standard,completed,yes,no,none,spaced_repetition,high,68,94.0,26.5,8.0,2.0,1,88,85,79
female,group C,some high school,standard,completed,yes,yes,none,passive_reading,high,46,96.1,9.6,7.9,2.1,0,57,54,56
male,group D,high school,standard,completed,yes,yes,none,passive_reading,medium,68,97.7,19.5,5.9,10.0,0,78,77,76
male,group D,some college,free/reduced,none,yes,no,peer_tutoring,passive_reading,medium,65,96.8,7.2,7.3,1.9,0,65,66,69
male,group A,high school,standard,none,yes,yes,none,group_study,medium,81,93.0,10.4,7.0,5.6,0,81,81,86
female,group B,high school,free/reduced,completed,yes,yes,peer_tutoring,active_problem_solving,medium,64,83.5,13.9,6.9,4.9,1,75,78,71
male,group D,some college,free/reduced,completed,yes,yes,none,spaced_repetition,high,47,92.2,24.5,7.4,1.8,2,54,57,55
female,group E,bachelor's degree,standard,completed,yes,no,none,active_problem_solving,high,40,96.5,29.8,7.4,2.9,0,64,61,65
male,group B,some college,free/reduced,none,yes,no,none,active_problem_solving,high,67,94.0,8.9,8.1,6.2,0,61,61,65
female,group D,associate's degree,standard,none,yes,no,none,passive_reading,low,67,95.9,5.6,7.3,4.0,0,64,63,63
female,group D,associate's degree,standard,none,yes,yes,none,spaced_repetition,low,66,86.8,15.1,8.1,5.9,1,72,73,72
male,group B,some college,standard,completed,no,yes,peer_tutoring,group_study,high,61,89.0,14.5,5.9,1.3,0,76,70,68
male,group C,associate's degree,standard,none,yes,yes,private_tutor,passive_reading,low,78,90.0,19.9,6.9,3.0,1,89,81,84
female,group A,bachelor's degree,free/reduced,none,yes,yes,peer_tutoring,group_study,high,62,86.8,11.9,8.0,2.7,0,72,67,61
female,group C,high school,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,high,67,94.3,14.9,6.3,3.0,0,72,74,74
male,group D,some college,standard,none,yes,yes,none,active_problem_solving,high,64,91.8,17.0,10.0,6.0,0,72,68,71
female,group D,high school,free/reduced,completed,yes,yes,peer_tutoring,active_problem_solving,high,58,95.8,10.8,7.3,2.2,0,80,80,73
male,group C,some college,free/reduced,completed,yes,yes,none,spaced_repetition,medium,67,96.4,4.0,7.4,2.2,0,71,73,77
male,group D,master's degree,standard,none,yes,no,none,active_problem_solving,medium,53,99.1,16.0,9.0,1.0,0,70,66,73
female,group B,high school,free/reduced,none,no,no,none,passive_reading,low,63,98.1,10.7,7.3,3.0,0,63,59,61
male,group E,bachelor's degree,standard,none,yes,yes,none,spaced_repetition,low,67,94.0,9.7,9.5,2.7,0,77,73,75
female,group D,some college,standard,completed,no,no,peer_tutoring,active_problem_solving,high,75,86.1,20.1,7.5,1.9,0,100,98,95
